"year","gear","tot_val"
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0.746011
2015,"OTB",32.148409
2015,"OTB",146.545906
2015,"OTB",275.232413
2015,"OTB",412.721717
2015,"OTB",759.079025
2015,"OTB",555.012586
2015,"OTB",715.004301
2015,"OTB",649.175992
2015,"OTB",732.179657
2015,"OTB",951.072284
2015,"OTB",748.658356
2015,"OTB",649.732954
2015,"OTB",330.660266
2015,"OTB",203.785751
2015,"OTB",143.102153
2015,"OTB",308.403896
2015,"OTB",279.453368
2015,"OTB",108.676526
2015,"OTB",45.944109
2015,"OTB",51.291236
2015,"OTB",41.567702
2015,"OTB",9.723535
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2014,"OTB",0
2014,"OTB",0
2014,"OTB",0
2014,"OTB",0
2014,"OTB",0
2014,"OTB",0
2014,"OTB",0
2014,"OTB",0
2014,"OTB",17.244707
2014,"OTB",57.581818
2014,"OTB",86.372728
2014,"OTB",315.929474
2014,"OTB",288.498205
2014,"OTB",980.003505
2014,"OTB",1635.300792
2014,"OTB",2579.002721
2014,"OTB",4330.243732
2014,"OTB",3433.63627
2014,"OTB",3112.147183
2014,"OTB",3500.195628
2014,"OTB",3732.064105
2014,"OTB",3330.846392
2014,"OTB",3344.874303
2014,"OTB",3050.706164
2014,"OTB",2360.204884
2014,"OTB",1981.818496
2014,"OTB",2410.585405
2014,"OTB",2394.559734
2014,"OTB",2632.746817
2014,"OTB",2116.975805
2014,"OTB",2054.227824
2014,"OTB",1258.862177
2014,"OTB",1149.718011
2014,"OTB",1093.474972
2014,"OTB",815.423199
2014,"OTB",876.747371
2014,"OTB",1252.912767
2014,"OTB",953.647919
2014,"OTB",242.089942
2014,"OTB",137.29362
2014,"OTB",67.040494
2014,"OTB",75.528865
2014,"OTB",45.22573
