"year","length","tot_val"
2011,42,21.079117
2011,41,135.921038
2011,40,125.165888
2011,39,239.719519
2011,38,519.534721
2011,37,443.89793
2011,36,603.506274
2011,35,1109.878948
2011,34,1761.141296
2011,33,2093.51432
2011,32,2658.790116
2011,31,2905.473176
2011,30,2698.332844
2011,29,2264.001038
2011,28,2130.781264
2011,27,2519.6111
2011,26,3499.170253
2011,25,3562.165119
2011,24,3217.011877
2011,23,2365.172245
2011,22,1745.520019
2011,21,1442.182431
2011,20,1548.344789
2011,19,1624.409764
2011,18,1615.59154
2011,17,1934.417636
2011,16,3767.278345
2011,15,1647.942024
2011,14,5675.980153
2011,13,6551.221155
2011,12,5179.409973
2011,11,4433.577441
2011,10,1132.548992
2011,9,1480.376528
2011,8,420.022373
2011,7,35.996508
2011,6,0
2011,5,0
2011,4,0
2011,3,0
2011,2,0
2011,1,0
2011,0,0
2010,100,0
2010,99,0
2010,98,0
2010,97,0
2010,96,0
2010,95,0
2010,94,0
2010,93,0
2010,92,0
2010,91,0
2010,90,0
2010,89,0
2010,88,0
2010,87,0
2010,86,0
2010,85,0
2010,84,0
2010,83,0
2010,82,0
2010,81,0
2010,80,0
2010,79,0
2010,78,0
2010,77,0
2010,76,0
2010,75,0
2010,74,0
2010,73,0
2010,72,0
2010,71,0
2010,70,0
2010,69,0
2010,68,0
2010,67,0
2010,66,0
2010,65,0
2010,64,0
2010,63,0
2010,62,0
2010,61,0
2010,60,0
2010,59,0
2010,58,0
2010,57,0
2010,56,0
2010,55,0
2010,54,0
2010,53,0
2010,52,0
2010,51,0
2010,50,0
2010,49,0
2010,48,0
2010,47,1.004219
2010,46,11.562879
2010,45,16.086653
2010,44,11.562879
2010,43,15.082433
2010,42,79.970037
2010,41,161.35254
2010,40,152.438096
2010,39,257.769762
2010,38,452.901731
2010,37,503.191815
2010,36,633.671645
2010,35,677.385691
2010,34,658.354687
2010,33,721.499436
2010,32,866.299306
2010,31,1164.374851
2010,30,1893.697428
2010,29,2121.266166
2010,28,2497.622598
2010,27,2682.142568
2010,26,2873.066369
2010,25,2888.338102
2010,24,3078.529259
2010,23,3538.744166
2010,22,4204.70897
2010,21,3996.59982
2010,20,4431.923995
2010,19,2884.856448
2010,18,2748.264099
2010,17,2353.395486
2010,16,1500.069445
2010,15,825.878806
2010,14,387.334943
2010,13,191.888564
2010,12,149.383069
2010,11,200.45792
2010,10,80.110837
2010,9,130.45957
2010,8,0
2010,7,0
2010,6,0
2010,5,0
2010,4,0
2010,3,0
2010,2,0
2010,1,0
2010,0,0
2009,100,0
2009,99,0
2009,98,0
2009,97,0
2009,96,0
2009,95,0
2009,94,0
2009,93,0
2009,92,0
2009,91,0
2009,90,0
2009,89,0
2009,88,0
2009,87,0
2009,86,0
2009,85,0
2009,84,0
2009,83,0
2009,82,0
2009,81,0
2009,80,0
2009,79,0
2009,78,0
2009,77,0
2009,76,0
2009,75,0
2009,74,0
2009,73,0
2009,72,0
2009,71,0
2009,70,0
2009,69,0
2009,68,0
2009,67,0
2009,66,0
2009,65,0
2009,64,0
2009,63,0
2009,62,0
2009,61,0
2009,60,0
2009,59,0
2009,58,0
2009,57,0
2009,56,0
2009,55,0
2009,54,0
2009,53,0
2009,52,0
2009,51,0
2009,50,0
2009,49,0.814609
2009,48,4.887654
2009,47,7.331481
2009,46,5.819066
2009,45,9.194305
2009,44,7.331481
2009,43,9.787637
2009,42,16.000383
2009,41,59.355301
2009,40,131.977758
2009,39,386.974288
2009,38,213.056991
2009,37,244.218918
2009,36,648.993531
2009,35,658.70361
2009,34,932.554102
2009,33,1328.462617
2009,32,1415.423088
2009,31,1086.066446
2009,30,1042.820529
2009,29,895.96088
2009,28,1149.046446
2009,27,1181.162679
2009,26,1305.90109
2009,25,1591.645465
2009,24,1949.605471
2009,23,1996.811325
2009,22,1810.164479
2009,21,1339.317172
2009,20,1891.40712
2009,19,1845.314938
2009,18,2192.933402
2009,17,2009.171824
2009,16,2117.369177
2009,15,2123.161491
2009,14,1309.541223
2009,13,768.186081
2009,12,471.195383
2009,11,444.823524
2009,10,442.023121
2009,9,114.894545
2009,8,74.269684
2009,7,0
2009,6,0
2009,5,0
2009,4,0
2009,3,0
2009,2,0
2009,1,0
2009,0,0
2008,100,0
2008,99,0
2008,98,0
2008,97,0
2008,96,0
2008,95,0
2008,94,0
2008,93,0
2008,92,0
2008,91,0
2008,90,0
2008,89,0
2008,88,0
2008,87,0
2008,86,0
2008,85,0
2008,84,0
2008,83,0
2008,82,0
2008,81,0
2008,80,0
2008,79,0
2008,78,0
2008,77,0
2008,76,0
2008,75,0
2008,74,0
2008,73,0
2008,72,0
2008,71,0
2008,70,0
2008,69,0
2008,68,0
2008,67,0
2008,66,0
2008,65,0
2008,64,0
2008,63,0
2008,62,0
2008,61,0
2008,60,0
2008,59,0
2008,58,0
2008,57,0
2008,56,0
2008,55,0
2008,54,0
2008,53,0
2008,52,0
2008,51,0
2008,50,0
2008,49,0
2008,48,0
2008,47,0
2008,46,0
2008,45,7.93538
2008,44,11.176603
2008,43,54.509359
2008,42,24.226217
2008,41,40.648123
2008,40,99.38193
2008,39,136.103513
2008,38,249.44223
2008,37,237.875085
2008,36,371.430972
2008,35,403.438467
2008,34,467.107698
2008,33,658.295164
2008,32,967.779286
2008,31,838.982227
2008,30,984.57477
2008,29,1169.908705
2008,28,1659.739357
2008,27,1151.383253
2008,26,981.990994
2008,25,1196.504271
2008,24,1312.430065
2008,23,1427.565185
2008,22,1856.43252
2008,21,1612.32926
2008,20,1346.721051
2008,19,1401.407748
2008,18,1242.10916
2008,17,781.324064
2008,16,576.392686
2008,15,243.627906
2008,14,188.074018
2008,13,49.08678
2008,12,0
2008,11,0
2008,10,0
2008,9,0
2008,8,0
2008,7,0
2008,6,0
2008,5,0
2008,4,0
2008,3,0
2008,2,0
2008,1,0
2008,0,0
2007,100,0
2007,99,0
2007,98,0
2007,97,0
2007,96,0
2007,95,0
2007,94,0
2007,93,0
2007,92,0
2007,91,0
2007,90,0
2007,89,0
2007,88,0
2007,87,0
2007,86,0
2007,85,0
2007,84,0
2007,83,0
2007,82,0
2007,81,0
2007,80,0
2007,79,0
2007,78,0
2007,77,0
2007,76,0
2007,75,0
2007,74,0
2007,73,0
2007,72,0
2007,71,0
2007,70,0
2007,69,0
2007,68,0
2007,67,0
2007,66,0
2007,65,0
2007,64,0
2007,63,0
2007,62,0
2007,61,0
2007,60,0
2007,59,0
2007,58,0
2007,57,0
2007,56,0
2007,55,0
2007,54,0
2007,53,0
2007,52,0
2007,51,0
2007,50,0
2007,49,0
2007,48,0
2007,47,0
2007,46,0
2007,45,20.807193
2007,44,10.403596
2007,43,41.614386
2007,42,43.530275
2007,41,46.172253
2007,40,129.207591
2007,39,186.960062
2007,38,332.954052
2007,37,455.947655
2007,36,655.273765
2007,35,787.254032
2007,34,696.651957
2007,33,1312.848734
2007,32,757.995284
2007,31,475.621127
2007,30,523.233089
2007,29,735.52671
2007,28,826.117512
2007,27,858.347386
2007,26,763.671411
2007,25,832.398507
2007,24,484.275586
2007,23,1032.62276
2007,22,798.478169
2007,21,733.885039
2007,20,548.436067
2007,19,391.523479
2007,18,168.0166
2007,17,108.366318
2007,16,48.410418
2007,15,24.56112
2007,14,11.387826
2007,13,8.541983
2007,12,0
2007,11,0.308403
2007,10,0
2007,9,0
2007,8,0
2007,7,0
2007,6,0
2007,5,0
2007,4,0
2007,3,0
2007,2,0
2007,1,0
2007,0,0
2006,100,0
2006,99,0
2006,98,0
2006,97,0
2006,96,0
2006,95,0
2006,94,0
2006,93,0
2006,92,0
2006,91,0
2006,90,0
2006,89,0
2006,88,0
2006,87,0
2006,86,0
2006,85,0
2006,84,0
2006,83,0
2006,82,0
2006,81,0
2006,80,0
2006,79,0
2006,78,0
2006,77,0
2006,76,0
2006,75,0
2006,74,0
2006,73,0
2006,72,0
2006,71,0
2006,70,0
2006,69,0
2006,68,0
2006,67,0
2006,66,0
2006,65,0
2006,64,0
2006,63,0
2006,62,0
2006,61,0
2006,60,0
2006,59,0
2006,58,0
2006,57,0
2006,56,0
2006,55,0
2006,54,0
2006,53,0
2006,52,0
2006,51,0
2006,50,0
2006,49,0
2006,48,0
2006,47,0
2006,46,0
2006,45,0
2006,44,0
2006,43,3.58535
2006,42,14.101233
2006,41,25.180412
2006,40,51.613838
2006,39,81.551571
2006,38,103.159049
2006,37,153.141003
2006,36,156.8982
2006,35,172.604879
2006,34,154.808872
2006,33,196.036835
2006,32,198.822698
2006,31,210.898497
2006,30,301.355951
2006,29,234.01891
2006,28,201.627308
2006,27,179.928637
2006,26,231.913324
2006,25,249.851821
2006,24,191.867843
2006,23,121.914182
2006,22,43.485408
2006,21,35.720562
2006,20,34.961567
